127.0.0.1 - - [12/May/2016:09:23:24 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/May/2016:09:23:34 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 6067
0:0:0:0:0:0:0:1 - - [12/May/2016:09:23:34 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2016:09:23:34 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2016:09:23:34 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2016:09:23:34 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2016:09:23:34 +0300] "GET /TFL/faces/RES_NOT_FOUND HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [12/May/2016:09:23:36 +0300] "GET /TFL/faces/styles/indexCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2016:09:23:36 +0300] "GET /TFL/faces/RES_NOT_FOUND HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [12/May/2016:09:23:37 +0300] "GET /TFL/faces/images/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2016:09:23:37 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/May/2016:09:23:37 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/May/2016:09:23:59 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [12/May/2016:09:24:00 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2016:09:24:00 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2016:09:24:00 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2016:09:24:00 +0300] "GET /TFL/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2016:09:24:00 +0300] "GET /TFL/faces/resources/adminuser.xhtml HTTP/1.1" 200 23773
0:0:0:0:0:0:0:1 - - [12/May/2016:09:24:01 +0300] "GET /TFL/faces/styles/userCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2016:09:24:01 +0300] "GET /TFL/faces/styles/headerCss.css HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [12/May/2016:09:24:01 +0300] "GET /TFL/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2016:09:24:01 +0300] "GET /TFL/faces/images/ball.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2016:09:24:01 +0300] "GET /TFL/faces/images/nextgames.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2016:09:24:01 +0300] "GET /TFL/faces/images/players.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2016:09:24:01 +0300] "GET /TFL/faces/images/history.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2016:09:24:02 +0300] "GET /TFL/faces/images/back.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2016:09:24:08 +0300] "POST /TFL/faces/resources/adminuser.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2016:09:24:09 +0300] "GET /TFL/faces/resources/nextadmingames.xhtml HTTP/1.1" 200 52520
0:0:0:0:0:0:0:1 - - [12/May/2016:09:24:09 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2016:09:24:09 +0300] "GET /TFL/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2016:09:24:09 +0300] "GET /TFL/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
