127.0.0.1 - - [14/Apr/2016:11:53:25 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:53:28 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 4688
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:53:29 +0300] "GET /TFL/faces/style/indexCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:53:30 +0300] "GET /TFL/faces/images/fotball.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:53:30 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:53:30 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:53:45 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:53:46 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16434
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:53:46 +0300] "GET /TFL/faces/images/next.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:53:46 +0300] "GET /TFL/faces/images/history.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:53:46 +0300] "GET /TFL/faces/images/players.jpg HTTP/1.1" 200 5461
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:55:13 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 500 4125
0:0:0:0:0:0:0:1 - - [14/Apr/2016:11:57:25 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16362
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:02:17 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16384
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:03:05 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16427
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:03:29 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16451
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:09:01 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16463
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:09:01 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 200 67
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:09:05 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16463
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:09:05 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:09:08 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:09:08 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:09:20 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:09:20 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16463
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:09:20 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:10:07 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16463
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:10:07 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:10:58 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16483
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:10:58 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:11:48 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:11:48 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16498
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:12:17 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16498
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:12:17 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:15:37 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16527
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:15:37 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:15:49 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16512
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:17:33 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 500 3032
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:17:43 +0300] "GET /TFL/faces/resources/singup.xhtml HTTP/1.1" 200 4930
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:17:51 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:17:51 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 500 3032
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:19:44 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 4658
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:19:50 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:19:51 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 500 3032
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:20:47 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:20:47 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16515
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:20:47 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:21:15 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 500 3243
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:21:30 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 14164
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:26:49 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 12606
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:26:49 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:26:52 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 1511
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:27:06 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 16135
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:27:06 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-icons_898989_256x240.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:27:10 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:27:10 +0300] "GET /TFL/faces/resources/viewpersonaldates.xhtml HTTP/1.1" 200 13520
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:27:12 +0300] "POST /TFL/faces/resources/viewpersonaldates.xhtml HTTP/1.1" 200 17794
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:27:12 +0300] "GET /TFL/faces/javax.faces.resource/images/ui-icons_898989_256x240.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:27:16 +0300] "POST /TFL/faces/resources/viewpersonaldates.xhtml HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:27:16 +0300] "GET /TFL/faces/resources/userchart.xhtml HTTP/1.1" 200 12605
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:27:16 +0300] "GET /TFL/faces/javax.faces.resource/charts/charts.css?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:27:16 +0300] "GET /TFL/faces/javax.faces.resource/charts/charts.js?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:27:17 +0300] "POST /TFL/faces/resources/userchart.xhtml HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:27:17 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:27:24 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:27:24 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 12588
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:28:32 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 13078
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:28:32 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:28:35 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:28:35 +0300] "GET /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 22020
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:28:38 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:28:38 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:28:44 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:28:44 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 13078
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:37:32 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 14751
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:37:33 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:37:34 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:37:35 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:37:36 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:37:36 +0300] "GET /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 22020
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:37:37 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:37:37 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:37:43 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:37:43 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 14751
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:41:08 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 13082
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:41:08 +0300] "GET /TFL/faces/style/userViewCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:41:10 +0300] "POST /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:41:10 +0300] "GET /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 22020
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:41:11 +0300] "POST /TFL/faces/resources/nextusergames.xhtml HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:41:11 +0300] "GET /TFL/faces/index.xhtml HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:41:18 +0300] "POST /TFL/faces/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Apr/2016:12:41:18 +0300] "GET /TFL/faces/resources/userview.xhtml HTTP/1.1" 200 13082
