127.0.0.1 - - [21/Jun/2016:09:40:59 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:02 +0300] "GET /TFL/index.xhtml HTTP/1.1" 200 5562
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:02 +0300] "GET /TFL/javax.faces.resource/styles/indexCss.css.xhtml;jsessionid=E57E9D52BDE0C626A85C0EC2A646CFED HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:02 +0300] "GET /TFL/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=E57E9D52BDE0C626A85C0EC2A646CFED?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:02 +0300] "GET /TFL/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=E57E9D52BDE0C626A85C0EC2A646CFED?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:02 +0300] "GET /TFL/javax.faces.resource/primefaces.js.xhtml;jsessionid=E57E9D52BDE0C626A85C0EC2A646CFED?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:02 +0300] "GET /TFL/javax.faces.resource/primefaces.css.xhtml;jsessionid=E57E9D52BDE0C626A85C0EC2A646CFED?ln=primefaces&v=5.3 HTTP/1.1" 200 70754
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:02 +0300] "GET /TFL/javax.faces.resource/theme.css.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:02 +0300] "GET /TFL/styles/indexCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:02 +0300] "GET /TFL/javax.faces.resource/styles/indexCss.css.xhtml;jsessionid=E57E9D52BDE0C626A85C0EC2A646CFED HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:02 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:02 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_25_cb842e_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:02 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_inset-soft_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:02 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:02 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:44 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_100_f5f0e5_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:48 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_highlight-hard_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:50 +0300] "POST /TFL/index.xhtml;jsessionid=E57E9D52BDE0C626A85C0EC2A646CFED HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:50 +0300] "GET /TFL/resources/userview.xhtml HTTP/1.1" 200 16173
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:50 +0300] "GET /TFL/javax.faces.resource/theme.css.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:50 +0300] "GET /TFL/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:50 +0300] "GET /TFL/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:50 +0300] "GET /TFL/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:50 +0300] "GET /TFL/styles/custCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:50 +0300] "GET /TFL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:50 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:50 +0300] "GET /TFL/images/d.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:52 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_100_f5f0e5_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:53 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_highlight-hard_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:53 +0300] "POST /TFL/resources/userview.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:53 +0300] "GET /TFL/resources/nextadmingames.xhtml HTTP/1.1" 200 27253
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:53 +0300] "GET /TFL/javax.faces.resource/theme.css.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:53 +0300] "GET /TFL/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:53 +0300] "GET /TFL/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:53 +0300] "GET /TFL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:53 +0300] "GET /TFL/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:53 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_inset-soft_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:53 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_25_cb842e_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:53 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:56 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_100_f5f0e5_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:57 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_highlight-hard_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:57 +0300] "POST /TFL/resources/nextadmingames.xhtml HTTP/1.1" 200 27791
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:57 +0300] "GET /TFL/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:57 +0300] "GET /TFL/javax.faces.resource/theme.css.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:57 +0300] "GET /TFL/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:57 +0300] "GET /TFL/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:57 +0300] "GET /TFL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:57 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_25_cb842e_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:57 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_glass_70_ede4d4_1x400.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:57 +0300] "GET /TFL/javax.faces.resource/images/ui-bg_inset-soft_100_f4f0ec_1x100.png.xhtml?ln=primefaces-humanity HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2016:09:41:57 +0300] "GET /TFL/javax.faces.resource/messages/messages.png.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
